extrusion,layer_width,layer_height,formula_speed
3,25,10,219
3,26,10,210
3,27,10,201
3,28,10,193
3,29,10,186
3,30,10,180
3,31,10,173
3,32,10,167
3,33,10,162
3,34,10,157
3,35,10,152
