extrusion,layer_width,layer_height,formula_speed
2,25,10,146
2,26,10,140
2,27,10,134
2,28,10,129
2,29,10,124
2,30,10,120
2,31,10,116
2,32,10,112
2,33,10,108
2,34,10,105
2,35,10,101
