layer_height,extrusion,speed,layer_width,over-under
5,3,400,24.4,0
5,3,400,24.6,0
8,3,120,46.9,1
8,3,120,48.3,1
8,3,120,46.0,1
8,3,120,46.2,1
8,3,120,47.4,1
8,3,140,41.3,0
8,3,140,40.9,0
8,3,140,41.4,0
8,3,140,41.9,0
8,3,140,42.0,0
8,3,160,37.1,0
8,3,160,35.5,0
8,3,160,37.1,0
8,3,160,36.6,0
8,3,160,36.7,0
8,3,180,33.3,0
8,3,180,33.1,0
8,3,180,33.4,0
8,3,180,33.1,0
8,3,180,33.7,0
8,3,200,29.6,0
8,3,200,29.4,0
8,3,200,29.8,0
8,3,200,31.3,0
8,3,200,30.0,0
8,3,220,28.8,0
8,3,220,28.3,0
8,3,220,28.2,0
8,3,220,28.1,0
8,3,220,28.5,0
8,3,240,25.6,0
8,3,240,25.3,0
8,3,240,24.5,0
8,3,240,25.4,0
8,3,240,25.9,0
8,3,260,24.4,0
8,3,260,24.2,0
8,3,260,23.9,0
8,3,260,24.2,0
8,3,260,24.3,0
8,3,280,21.8,0
8,3,280,22.3,0
8,3,280,22.3,0
8,3,280,22.9,0
8,3,280,22.8,0
8,3,300,21.7,0
8,3,300,21.9,0
8,3,300,21.6,0
8,3,300,21.9,0
8,3,300,21.9,0
8,3,320,19.6,0
8,3,320,20.0,0
8,3,320,20.4,0
8,3,320,20.1,0
8,3,320,20.3,0
8,3,340,19.5,-1
8,3,340,19.5,-1
8,3,340,19.7,-1
8,3,340,19.8,-1
8,3,340,20.3,-1
8,3,360,18.7,-1
8,3,360,18.9,-1
8,3,360,18.5,-1
8,3,360,17.8,-1
8,3,360,18.4,-1
8,3,380,18.2,-1
8,3,380,18.0,-1
8,3,380,17.9,-1
8,3,380,18.6,-1
8,3,380,18.1,-1
8,3,400,17.5,-1
8,3,400,17.8,-1
8,3,400,16.8,-1
8,3,400,17.1,-1
8,3,400,17.2,-1
10,3,80,55.7,0
10,3,80,53.9,0
10,3,80,55.0,0
10,3,80,54.8,0
10,3,80,54.4,0
10,3,100,44.3,0
10,3,100,45.6,0
10,3,100,44.5,0
10,3,100,44.9,0
10,3,100,44.0,0
10,3,120,38.0,0
10,3,120,38.3,0
10,3,120,38.8,0
10,3,120,38.3,0
10,3,120,38.4,0
10,3,140,32.8,0
10,3,140,33.0,0
10,3,140,32.5,0
10,3,140,32.7,0
10,3,140,32.9,0
10,3,160,28.9,0
10,3,160,29.2,0
10,3,160,28.7,0
10,3,160,29.4,0
10,3,160,28.8,0
10,3,180,25.8,0
10,3,180,26.1,0
10,3,180,25.7,0
10,3,180,25.9,0
10,3,180,26.4,0
10,3,200,24.0,0
10,3,200,24.1,0
10,3,200,23.9,0
10,3,200,24.5,0
10,3,200,23.8,0
10,3,220,23.1,0
10,3,220,22.2,0
10,3,220,23.2,0
10,3,220,21.6,0
10,3,220,22.4,0
10,3,240,21.9,0
10,3,240,22.7,0
10,3,240,24.1,0
10,3,240,20.7,0
10,3,240,22.9,0
10,3,260,20.1,0
10,3,260,20.5,0
10,3,260,20.8,0
10,3,260,20.7,0
10,3,260,20.6,0
10,3,280,18.1,0
10,3,280,18.4,0
10,3,280,18.1,0
10,3,280,18.7,0
10,3,280,18.7,0
10,3,300,17.7,0
10,3,300,18.4,0
10,3,300,18.1,0
10,3,300,18.5,0
10,3,300,17.9,0
10,3,320,17.2,0
10,3,320,16.7,0
10,3,320,18.0,0
10,3,320,17.3,0
10,3,320,17.2,0
10,3,340,16.2,0
10,3,340,16.5,0
10,3,340,16.4,0
10,3,340,15.7,0
10,3,340,16.2,0
10,3,360,15.2,-1
10,3,360,15.8,-1
10,3,360,15.5,-1
10,3,360,15.4,-1
10,3,360,15.6,-1
10,3,380,15.1,-1
10,3,380,15.0,-1
10,3,380,15.1,-1
10,3,380,14.6,-1
10,3,380,15.2,-1
10,3,400,14.5,-1
10,3,400,14.5,-1
10,3,400,14.7,-1
10,3,400,14.7,-1
10,3,400,15.3,-1
12,3,80,47.0,0
12,3,80,46.6,0
12,3,80,47.5,0
12,3,80,47.4,0
12,3,80,47.3,0
12,3,100,38.3,0
12,3,100,41.9,0
12,3,100,39.1,0
12,3,100,39.4,0
12,3,100,40.7,0
12,3,120,33.3,0
12,3,120,33.8,0
12,3,120,32.4,0
12,3,120,32.8,0
12,3,120,33.1,0
12,3,140,28.4,0
12,3,140,28.7,0
12,3,140,28.8,0
12,3,140,28.7,0
12,3,140,28.1,0
12,3,160,24.9,0
12,3,160,25.5,0
12,3,160,24.8,0
12,3,160,24.9,0
12,3,160,25.1,0
12,3,180,23.1,0
12,3,180,23.3,0
12,3,180,23.0,0
12,3,180,24.0,0
12,3,180,22.7,0
12,3,200,21.5,0
12,3,200,21.2,0
12,3,200,20.5,0
12,3,200,20.6,0
12,3,200,21.3,0
12,3,220,19.5,0
12,3,220,18.7,0
12,3,220,20.4,0
12,3,220,20.1,0
12,3,220,19.8,0
12,3,240,19.0,0
12,3,240,18.9,0
12,3,240,18.4,0
12,3,240,18.2,0
