extrusion,layer_width,layer_height,formula_speed
2,20,10,187
2,21,10,177
2,22,10,168
2,23,10,160
2,24,10,153
2,25,10,146
2,26,10,140
2,27,10,134
2,28,10,129
2,29,10,124
2,30,10,120
2,31,10,116
2,32,10,112
2,33,10,108
2,34,10,105
2,35,10,101
2,36,10,98
2,37,10,96
2,38,10,93
2,39,10,90
2,40,10,88
2,41,10,86
2,42,10,84
2,43,10,82
2,44,10,80
2,45,10,78
2,46,10,76
2,47,10,74
2,48,10,73
2,49,10,71
2,50,10,70
