pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under
L2L,02,10,00,02,24,03,23.6,0
L2L,02,10,00,02,24,04,23.1,0
L2L,02,10,00,02,24,05,23.2,0
L2L,02,10,00,03,30,01,29.6,0
L2L,02,10,00,03,30,02,29.4,0
L2L,02,10,00,03,30,03,29.5,0
L2L,02,10,00,03,30,04,29,0
L2L,02,10,00,03,30,05,29,0
L2L,02,10,00,04,36,01,35.6,0
L2L,02,10,00,04,36,02,34.7,0
L2L,02,10,00,04,36,03,34.7,0
L2L,02,10,00,04,36,04,35.2,0
L2L,02,10,00,04,36,05,35,0
L2L,02,10,00,05,42,01,40.8,0
L2L,02,10,00,05,42,02,39.4,0
L2L,02,10,00,05,42,03,40.5,0
L2L,02,10,00,05,42,04,40.4,0
L2L,02,10,00,05,42,05,41.2,0
L2L,02,10,00,06,48,01,47.2,0
L2L,02,10,00,06,48,02,46.8,0
L2L,02,10,00,06,48,03,45.9,0
L2L,02,10,00,06,48,04,46.3,0
L2L,02,10,00,06,48,05,46.5,0
L2L,02,10,00,07,54,01,52.2,1
L2L,02,10,00,07,54,02,53.3,1
L2L,02,10,00,07,54,03,52.3,1
L2L,02,10,00,07,54,04,53,1
L2L,02,10,00,07,54,05,53.8,1
L2L,02,10,01,01,18,01,-1,-1
L2L,02,10,01,01,18,02,-1,-1
L2L,02,10,01,01,18,03,-1,-1
L2L,02,10,01,01,18,04,-1,-1
L2L,02,10,01,01,18,05,-1,-1
L2L,02,10,01,02,24,01,23.5,0
L2L,02,10,01,02,24,02,23.1,0
L2L,02,10,01,02,24,03,23.2,0
L2L,02,10,01,02,24,04,21.8,0
L2L,02,10,01,02,24,05,21.5,0
L2L,02,10,01,03,30,01,29.2,0
L2L,02,10,01,03,30,02,29.4,0
L2L,02,10,01,03,30,03,29.5,0
L2L,02,10,01,03,30,04,29.5,0
L2L,02,10,01,03,30,05,29.1,0
L2L,02,10,01,04,36,01,35.1,0
L2L,02,10,01,04,36,02,34.9,0
L2L,02,10,01,04,36,03,35.2,0
L2L,02,10,01,04,36,04,36.3,0
L2L,02,10,01,04,36,05,36,0
L2L,02,10,01,05,42,01,42.7,0
L2L,02,10,01,05,42,02,40.7,0
L2L,02,10,01,05,42,03,41.6,0
L2L,02,10,01,05,42,04,42.4,0
L2L,02,10,01,05,42,05,41.4,0
L2L,02,10,01,06,48,01,48,0
L2L,02,10,01,06,48,02,47,0
L2L,02,10,01,06,48,03,46.9,0
L2L,02,10,01,06,48,04,48.3,0
L2L,02,10,01,06,48,05,48.1,0
L2L,02,10,01,07,54,01,53.9,1
L2L,02,10,01,07,54,02,54.4,1
L2L,02,10,01,07,54,03,53.9,1
L2L,02,10,01,07,54,04,57,1
L2L,02,10,01,07,54,05,54,1
L1L,02,12,00,01,18,01,-1,-1
L1L,02,12,00,01,18,02,-1,-1
L1L,02,12,00,01,18,03,-1,-1
L1L,02,12,00,01,18,04,-1,-1
L1L,02,12,00,01,18,05,-1,-1
L1L,02,12,00,02,24,01,25.2,0
L1L,02,12,00,02,24,02,24.6,0
L1L,02,12,00,02,24,03,25.1,0
L1L,02,12,00,02,24,04,25.6,0
L1L,02,12,00,02,24,05,25.1,0
L1L,02,12,00,03,30,01,32.6,0
L1L,02,12,00,03,30,02,32.6,0
L1L,02,12,00,03,30,03,32.5,0
L1L,02,12,00,03,30,04,32.2,0
L1L,02,12,00,03,30,05,32.6,0
L1L,02,12,00,04,36,01,39.6,0
L1L,02,12,00,04,36,02,38.6,0
L1L,02,12,00,04,36,03,39.1,0
L1L,02,12,00,04,36,04,39.1,0
L1L,02,12,00,04,36,05,39,0
L1L,02,12,00,05,42,01,46.1,1
L1L,02,12,00,05,42,02,47.8,1
L1L,02,12,00,05,42,03,46.7,1
L1L,02,12,00,05,42,04,46,1
L1L,02,12,00,05,42,05,46.6,1
L1L,02,12,00,06,48,01,51,1
L1L,02,12,00,06,48,02,53.9,1
L1L,02,12,00,06,48,03,51.2,1
L1L,02,12,00,06,48,04,51.8,1
L1L,02,12,00,06,48,05,53.6,1
L1L,02,12,00,07,54,01,64.7,1
L1L,02,12,00,07,54,02,64.3,1
L1L,02,12,00,07,54,03,65.3,1
L1L,02,12,00,07,54,04,64.5,1
L1L,02,12,00,07,54,05,65.4,1
L1L,02,12,01,01,18,01,-1,-1
L1L,02,12,01,01,18,02,-1,-1
L1L,02,12,01,01,18,03,-1,-1
L1L,02,12,01,01,18,04,-1,-1
L1L,02,12,01,01,18,05,-1,-1
L1L,02,12,01,02,24,01,25.3,0
L1L,02,12,01,02,24,02,25,0
L1L,02,12,01,02,24,03,24.1,0
L1L,02,12,01,02,24,04,24,0
L1L,02,12,01,02,24,05,23.7,0
L1L,02,12,01,03,30,01,32.1,0
L1L,02,12,01,03,30,02,31.9,0
L1L,02,12,01,03,30,03,31,0
L1L,02,12,01,03,30,04,30.9,0
L1L,02,12,01,03,30,05,31.5,0
L1L,02,12,01,04,36,01,37.1,0
L1L,02,12,01,04,36,02,37.9,0
L1L,02,12,01,04,36,03,37.2,0
L1L,02,12,01,04,36,04,38.7,0
L1L,02,12,01,04,36,05,38.1,0
L1L,02,12,01,05,42,01,44.2,0
L1L,02,12,01,05,42,02,43.7,0
L1L,02,12,01,05,42,03,45,0
L1L,02,12,01,05,42,04,44,0
L1L,02,12,01,05,42,05,44.7,0
L1L,02,12,01,06,48,01,49.5,1
L1L,02,12,01,06,48,02,53.1,1
L1L,02,12,01,06,48,03,52.7,1
L1L,02,12,01,06,48,04,50.6,1
L1L,02,12,01,06,48,05,49.3,1
L1L,02,12,01,07,54,01,59.2,1
L1L,02,12,01,07,54,02,58.5,1
L1L,02,12,01,07,54,03,60.6,1
L1L,02,12,01,07,54,04,58.6,1
L1L,02,12,01,07,54,05,59.3,1
SA2,02,15,00,01,18,01,-1,-1
SA2,02,15,00,01,18,02,-1,-1
SA2,02,15,00,01,18,03,-1,-1
SA2,02,15,00,01,18,04,-1,-1
SA2,02,15,00,01,18,05,-1,-1
SA2,02,15,00,02,24,01,23.2,0
SA2,02,15,00,02,24,02,24.1,0
SA2,02,15,00,02,24,03,24,0
SA2,02,15,00,02,24,04,23.3,0
SA2,02,15,00,02,24,05,23.7,0
SA2,02,15,00,03,30,01,30.5,0
SA2,02,15,00,03,30,02,30.2,0
SA2,02,15,00,03,30,03,30.5,0
SA2,02,15,00,03,30,04,30.2,0
SA2,02,15,00,03,30,05,30,0
SA2,02,15,00,04,36,01,37.9,0
SA2,02,15,00,04,36,02,36.8,0
SA2,02,15,00,04,36,03,36.9,0
SA2,02,15,00,04,36,04,36.7,0
SA2,02,15,00,04,36,05,36.5,0
SA2,02,15,00,05,42,01,44.6,0
SA2,02,15,00,05,42,02,44.6,0
SA2,02,15,00,05,42,03,43.4,0
SA2,02,15,00,05,42,04,44.9,0
SA2,02,15,00,05,42,05,45.2,0
SA2,02,15,00,06,48,01,51.9,0
SA2,02,15,00,06,48,02,51,0
SA2,02,15,00,06,48,03,50,0
SA2,02,15,00,06,48,04,50.2,0
SA2,02,15,00,06,48,05,48.2,0
SA2,02,15,00,07,54,01,58.8,1
SA2,02,15,00,07,54,02,57.1,1
SA2,02,15,00,07,54,03,55.7,1
SA2,02,15,00,07,54,04,57.2,1
SA2,02,15,00,07,54,05,55,1
SA2,02,15,01,01,18,01,-1,-1
SA2,02,15,01,01,18,02,-1,-1
SA2,02,15,01,01,18,03,-1,-1
SA2,02,15,01,01,18,04,-1,-1
SA2,02,15,01,01,18,05,-1,-1
SA2,02,15,01,02,24,01,24.3,0
SA2,02,15,01,02,24,02,24.4,0
SA2,02,15,01,02,24,03,24.9,0
SA2,02,15,01,02,24,04,25.5,0
SA2,02,15,01,02,24,05,25.3,0
SA2,02,15,01,03,30,01,32.6,0
SA2,02,15,01,03,30,02,32.4,0
SA2,02,15,01,03,30,03,32.4,0
SA2,02,15,01,03,30,04,32.5,0
SA2,02,15,01,03,30,05,33,0
SA2,02,15,01,04,36,01,39.9,0
SA2,02,15,01,04,36,02,41.1,0
SA2,02,15,01,04,36,03,39.5,0
SA2,02,15,01,04,36,04,39.3,0
SA2,02,15,01,04,36,05,39.7,0
SA2,02,15,01,05,42,01,46.6,0
SA2,02,15,01,05,42,02,47.4,0
SA2,02,15,01,05,42,03,47.3,0
SA2,02,15,01,05,42,04,47,0
SA2,02,15,01,05,42,05,46.4,0
SA2,02,15,01,06,48,01,52.6,1
SA2,02,15,01,06,48,02,52.8,1
SA2,02,15,01,06,48,03,53,1
SA2,02,15,01,06,48,04,53,1
SA2,02,15,01,06,48,05,52.8,1
SA2,02,15,01,07,54,01,60.5,1
SA2,02,15,01,07,54,02,58.8,1
SA2,02,15,01,07,54,03,58.5,1
