pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under
L1R,03,12,00,02,24,02,27.5,0
L1R,03,12,00,02,24,03,27.2,0
L1R,03,12,00,02,24,04,27,0
L1R,03,12,00,02,24,05,27.3,0
L1R,03,12,00,03,30,01,34.3,0
L1R,03,12,00,03,30,02,34.8,0
L1R,03,12,00,03,30,03,34,0
L1R,03,12,00,03,30,04,34.7,0
L1R,03,12,00,03,30,05,34.7,0
L1R,03,12,00,04,36,01,41.5,0
L1R,03,12,00,04,36,02,41.5,0
L1R,03,12,00,04,36,03,41.3,0
L1R,03,12,00,04,36,04,41.4,0
L1R,03,12,00,04,36,05,41.7,0
L1R,03,12,00,05,42,01,48.7,0
L1R,03,12,00,05,42,02,48.2,0
L1R,03,12,00,05,42,03,48.4,0
L1R,03,12,00,05,42,04,48.8,0
L1R,03,12,00,05,42,05,48.6,0
L1R,03,12,00,06,48,01,54.9,0
L1R,03,12,00,06,48,02,54.5,0
L1R,03,12,00,06,48,03,54.7,0
L1R,03,12,00,06,48,04,54.5,0
L1R,03,12,00,06,48,05,55,0
L1R,03,12,00,07,54,01,63.2,1
L1R,03,12,00,07,54,02,63.1,1
L1R,03,12,00,07,54,03,61,1
L1R,03,12,00,07,54,04,61.7,1
L1R,03,12,00,07,54,05,61.3,1
L1R,03,12,01,01,18,01,19,-1
L1R,03,12,01,01,18,02,18,-1
L1R,03,12,01,01,18,03,18.7,-1
L1R,03,12,01,01,18,04,19.2,-1
L1R,03,12,01,01,18,05,19.3,-1
L1R,03,12,01,02,24,01,26.9,0
L1R,03,12,01,02,24,02,26.5,0
L1R,03,12,01,02,24,03,26.8,0
L1R,03,12,01,02,24,04,27,0
L1R,03,12,01,02,24,05,26.8,0
L1R,03,12,01,03,30,01,34.2,0
L1R,03,12,01,03,30,02,34,0
L1R,03,12,01,03,30,03,33.6,0
L1R,03,12,01,03,30,04,33.5,0
L1R,03,12,01,03,30,05,33.3,0
L1R,03,12,01,04,36,01,41.9,0
L1R,03,12,01,04,36,02,41.5,0
L1R,03,12,01,04,36,03,40.8,0
L1R,03,12,01,04,36,04,41.2,0
L1R,03,12,01,04,36,05,40,0
L1R,03,12,01,05,42,01,48.5,0
L1R,03,12,01,05,42,02,48.1,0
L1R,03,12,01,05,42,03,49.1,0
L1R,03,12,01,05,42,04,48.5,0
L1R,03,12,01,05,42,05,48,0
L1R,03,12,01,06,48,01,55.8,1
L1R,03,12,01,06,48,02,55.9,1
L1R,03,12,01,06,48,03,56.2,1
L1R,03,12,01,06,48,04,56.4,1
L1R,03,12,01,06,48,05,55.9,1
L1R,03,12,01,07,54,01,62.6,1
L1R,03,12,01,07,54,02,61.9,1
L1R,03,12,01,07,54,03,61.9,1
L1R,03,12,01,07,54,04,62,1
L1R,03,12,01,07,54,05,61.7,1
SD2,03,15,00,01,18,01,-1,-1
SD2,03,15,00,01,18,02,-1,-1
SD2,03,15,00,01,18,03,-1,-1
SD2,03,15,00,01,18,04,-1,-1
SD2,03,15,00,01,18,05,-1,-1
SD2,03,15,00,02,24,01,25.6,0
SD2,03,15,00,02,24,02,25.1,0
SD2,03,15,00,02,24,03,25.3,0
SD2,03,15,00,02,24,04,25.5,0
SD2,03,15,00,02,24,05,26,0
SD2,03,15,00,03,30,01,32.2,0
SD2,03,15,00,03,30,02,32.2,0
SD2,03,15,00,03,30,03,32.5,0
SD2,03,15,00,03,30,04,32.1,0
SD2,03,15,00,03,30,05,32.3,0
SD2,03,15,00,04,36,01,40.5,0
SD2,03,15,00,04,36,02,39.7,0
SD2,03,15,00,04,36,03,39.3,0
SD2,03,15,00,04,36,04,40.3,0
SD2,03,15,00,04,36,05,40.3,0
SD2,03,15,00,05,42,01,47.6,0
SD2,03,15,00,05,42,02,47.2,0
SD2,03,15,00,05,42,03,47.3,0
SD2,03,15,00,05,42,04,46,0
SD2,03,15,00,05,42,05,46.5,0
SD2,03,15,00,06,48,01,55.9,1
SD2,03,15,00,06,48,02,55.5,1
SD2,03,15,00,06,48,03,52.6,1
SD2,03,15,00,06,48,04,53.1,1
SD2,03,15,00,06,48,05,53.1,1
SD2,03,15,00,07,54,01,61.4,1
SD2,03,15,00,07,54,02,61.7,1
SD2,03,15,00,07,54,03,62.1,1
SD2,03,15,00,07,54,04,62.9,1
SD2,03,15,00,07,54,05,61.9,1
SD2,03,15,01,01,18,01,-1,-1
SD2,03,15,01,01,18,02,-1,-1
SD2,03,15,01,01,18,03,-1,-1
SD2,03,15,01,01,18,04,-1,-1
SD2,03,15,01,01,18,05,-1,-1
SD2,03,15,01,02,24,01,25,0
SD2,03,15,01,02,24,02,24.4,0
SD2,03,15,01,02,24,03,25.2,0
SD2,03,15,01,02,24,04,25.5,0
SD2,03,15,01,02,24,05,25.4,0
SD2,03,15,01,03,30,01,33,0
SD2,03,15,01,03,30,02,32,0
SD2,03,15,01,03,30,03,32.2,0
SD2,03,15,01,03,30,04,33.3,0
SD2,03,15,01,03,30,05,33.4,0
SD2,03,15,01,04,36,01,40.3,0
SD2,03,15,01,04,36,02,40.3,0
SD2,03,15,01,04,36,03,39.3,0
SD2,03,15,01,04,36,04,39.9,0
SD2,03,15,01,04,36,05,39.9,0
SD2,03,15,01,05,42,01,46.3,0
SD2,03,15,01,05,42,02,46.3,0
SD2,03,15,01,05,42,03,46.5,0
SD2,03,15,01,05,42,04,46,0
SD2,03,15,01,05,42,05,46.8,0
SD2,03,15,01,06,48,01,54.3,1
SD2,03,15,01,06,48,02,55,1
SD2,03,15,01,06,48,03,54.2,1
SD2,03,15,01,06,48,04,54.7,1
SD2,03,15,01,06,48,05,53,1
SD2,03,15,01,07,54,01,62.2,1
SD2,03,15,01,07,54,02,61.7,1
SD2,03,15,01,07,54,03,60,1
SD2,03,15,01,07,54,04,61,1
SD2,03,15,01,07,54,05,62,1
SD3,03,18,00,01,18,01,19,-1
SD3,03,18,00,01,18,02,20.2,-1
SD3,03,18,00,01,18,03,20.6,-1
SD3,03,18,00,01,18,04,20.6,-1
SD3,03,18,00,01,18,05,20.8,-1
SD3,03,18,00,02,24,01,24.8,0
SD3,03,18,00,02,24,02,24.5,0
SD3,03,18,00,02,24,03,24.7,0
SD3,03,18,00,02,24,04,25.1,0
SD3,03,18,00,02,24,05,25.1,0
SD3,03,18,00,03,30,01,32.1,0
SD3,03,18,00,03,30,02,31.8,0
SD3,03,18,00,03,30,03,32.1,0
SD3,03,18,00,03,30,04,31.9,0
SD3,03,18,00,03,30,05,32.1,0
SD3,03,18,00,04,36,01,38.6,0
SD3,03,18,00,04,36,02,39,0
SD3,03,18,00,04,36,03,39.1,0
SD3,03,18,00,04,36,04,39.8,0
SD3,03,18,00,04,36,05,39.5,0
SD3,03,18,00,05,42,01,48,0
SD3,03,18,00,05,42,02,48.7,0
SD3,03,18,00,05,42,03,48.7,0
SD3,03,18,00,05,42,04,49.4,0
SD3,03,18,00,05,42,05,49.3,0
SD3*,03,18,00,06,48,01,53.4,0
SD3*,03,18,00,06,48,02,54.2,0
SD3*,03,18,00,06,48,03,53.9,0
SD3*,03,18,00,06,48,04,54.8,0
SD3*,03,18,00,06,48,05,54.4,0
SD3,03,18,00,07,54,01,62.2,1
SD3,03,18,00,07,54,02,63.3,1
SD3,03,18,00,07,54,03,60.4,1
SD3,03,18,00,07,54,04,60,1
SD3,03,18,00,07,54,05,61.8,1
SD3,03,18,01,01,18,01,18.2,-1
SD3,03,18,01,01,18,02,18.1,-1
SD3,03,18,01,01,18,03,20.2,-1
SD3,03,18,01,01,18,04,20.4,-1
SD3,03,18,01,01,18,05,20.1,-1
SD3,03,18,01,02,24,01,25.8,0
SD3,03,18,01,02,24,02,25.6,0
SD3,03,18,01,02,24,03,25.5,0
SD3,03,18,01,02,24,04,26,0
SD3,03,18,01,02,24,05,25.7,0
SD3,03,18,01,03,30,01,32.8,0
SD3,03,18,01,03,30,02,32.8,0
SD3,03,18,01,03,30,03,32.3,0
SD3,03,18,01,03,30,04,33.2,0
SD3,03,18,01,03,30,05,32.7,0
SD3,03,18,01,04,36,01,40.8,0
SD3,03,18,01,04,36,02,40.6,0
SD3,03,18,01,04,36,03,40.2,0
SD3,03,18,01,04,36,04,40.4,0
SD3,03,18,01,04,36,05,40.5,0
SD3,03,18,01,05,42,01,47.5,0
SD3,03,18,01,05,42,02,47.3,0
SD3,03,18,01,05,42,03,46.7,0
SD3,03,18,01,05,42,04,46.5,0
SD3,03,18,01,05,42,05,47.1,0
SD3,03,18,01,06,48,01,53.3,1
SD3,03,18,01,06,48,02,53,1
SD3,03,18,01,06,48,03,54.3,1
SD3,03,18,01,06,48,04,54.3,1
SD3,03,18,01,06,48,05,54.4,1
SD3,03,18,01,07,54,01,62.2,1
SD3,03,18,01,07,54,02,62.8,1
SD3,03,18,01,07,54,03,62.2,1
SD3,03,18,01,07,54,04,61.6,1
SD3,03,18,01,07,54,05,62.6,1
