pallet,layer_height,extrusion,run,speed,replicate,layer_width,over-under
L1L,10,2,14,300,5,-1,-1
L1L,10,2,15,320,1,-1,-1
L1L,10,2,15,320,2,-1,-1
L1L,10,2,15,320,3,-1,-1
L1L,10,2,15,320,4,-1,-1
L1L,10,2,15,320,5,-1,-1
L1L,10,2,16,340,1,-1,-1
L1L,10,2,16,340,2,-1,-1
L1L,10,2,16,340,3,-1,-1
L1L,10,2,16,340,4,-1,-1
L1L,10,2,16,340,5,-1,-1
L1L,10,2,17,360,1,-1,-1
L1L,10,2,17,360,2,-1,-1
L1L,10,2,17,360,3,-1,-1
L1L,10,2,17,360,4,-1,-1
L1L,10,2,17,360,5,-1,-1
L1L,10,2,18,380,1,-1,-1
L1L,10,2,18,380,2,-1,-1
L1L,10,2,18,380,3,-1,-1
L1L,10,2,18,380,4,-1,-1
L1L,10,2,18,380,5,-1,-1
L1L,10,2,19,400,1,-1,-1
L1L,10,2,19,400,2,-1,-1
L1L,10,2,19,400,3,-1,-1
L1L,10,2,19,400,4,-1,-1
L1L,10,2,19,400,5,-1,-1
L2L,12,2,1,40,1,-1,1
L2L,12,2,1,40,2,-1,1
L2L,12,2,1,40,3,-1,1
L2L,12,2,1,40,4,-1,1
L2L,12,2,1,40,5,-1,1
L2L,12,2,2,60,1,41.8,0
L2L,12,2,2,60,2,44,0
L2L,12,2,2,60,3,42.8,0
L2L,12,2,2,60,4,44.4,0
L2L,12,2,2,60,5,43.6,0
L2L,12,2,3,80,1,32.6,0
L2L,12,2,3,80,2,33.4,0
L2L,12,2,3,80,3,33.8,0
L2L,12,2,3,80,4,34,0
L2L,12,2,3,80,5,33.1,0
L2L,12,2,4,100,1,26.9,0
L2L,12,2,4,100,2,27.3,0
L2L,12,2,4,100,3,26,0
L2L,12,2,4,100,4,26.8,0
L2L,12,2,4,100,5,27.3,0
L2L,12,2,5,120,1,23.1,0
L2L,12,2,5,120,2,23.2,0
L2L,12,2,5,120,3,23.4,0
L2L,12,2,5,120,4,22.9,0
L2L,12,2,5,120,5,23,0
L2L,12,2,6,140,1,20.7,0
L2L,12,2,6,140,2,20.8,0
L2L,12,2,6,140,3,20.3,0
L2L,12,2,6,140,4,20.3,0
L2L,12,2,6,140,5,20.8,0
L2L,12,2,7,160,1,18.9,0
L2L,12,2,7,160,2,19.1,0
L2L,12,2,7,160,3,19.4,0
L2L,12,2,7,160,4,19.3,0
