Pallet,speed,extrusion,layer_height,Test,layer_width
1,20,2,5,1,
1,20,2,5,2,
1,20,2,5,3,
1,40,2,5,1,
1,40,2,5,2,
1,40,2,5,3,
1,60,2,5,1,
1,60,2,5,2,
1,60,2,5,3,
1,80,2,5,1,52.05
1,80,2,5,2,50.5
1,80,2,5,3,57.78
1,100,2,5,1,57.16
1,100,2,5,2,48
1,100,2,5,3,45.01
1,120,2,5,1,43.18
1,120,2,5,2,45.13
1,120,2,5,3,41.51
1,140,2,5,1,35.96
1,140,2,5,2,32.18
1,140,2,5,3,42.16
1,160,2,5,1,30.91
1,160,2,5,2,32.84
1,160,2,5,3,36.79
1,180,2,5,1,35.68
1,180,2,5,2,35.8
1,180,2,5,3,36.45
2,200,2,5,1,30.16
2,200,2,5,2,29.7
2,200,2,5,3,30.44
2,220,2,5,1,27.68
2,220,2,5,2,27.12
2,220,2,5,3,27.81
2,240,2,5,1,26.24
2,240,2,5,2,26.78
2,240,2,5,3,27.12
2,260,2,5,1,24.61
2,260,2,5,2,24.45
2,260,2,5,3,24.32
2,280,2,5,1,22.81
2,280,2,5,2,23.22
2,280,2,5,3,22.66
2,300,2,5,1,21.32
2,300,2,5,2,20.64
2,300,2,5,3,20.53
2,320,2,5,1,19.96
2,320,2,5,2,21.35
2,320,2,5,3,20.96
2,340,2,5,1,20.55
2,340,2,5,2,20.47
2,340,2,5,3,19.03
2,360,2,5,1,20.34
2,360,2,5,2,20.32
2,360,2,5,3,19.11
3,20,3,5,1,
3,20,3,5,2,
3,20,3,5,3,
3,40,3,5,1,
3,40,3,5,2,
3,40,3,5,3,
3,60,3,5,1,
3,60,3,5,2,
3,60,3,5,3,
3,80,3,5,1,
3,80,3,5,2,
3,80,3,5,3,
3,100,3,5,1,
3,100,3,5,2,
3,100,3,5,3,
3,120,3,5,1,55.91
3,120,3,5,2,55.07
3,120,3,5,3,57.44
3,140,3,5,1,49.98
3,140,3,5,2,50.1
3,140,3,5,3,50.46
3,160,3,5,1,50.36
3,160,3,5,2,53.37
3,160,3,5,3,52.24
3,180,3,5,1,47.33
3,180,3,5,2,46.29
3,180,3,5,3,46.5
4,200,3,5,1,48.01
4,200,3,5,2,33.55
4,200,3,5,3,46.78
4,220,3,5,1,33.08
4,220,3,5,2,37.58
4,220,3,5,3,41.48
4,240,3,5,1,41.47
4,240,3,5,2,40.34
4,240,3,5,3,43.03
4,260,3,5,1,35.78
4,260,3,5,2,38.32
4,260,3,5,3,35.16
