pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under,exp_speed
SB,2,8,1,6,48,2,49.7,1,90
SB,2,8,1,6,48,3,50.7,1,90
SB,2,8,1,6,48,4,49.0,1,90
SB,2,8,1,6,48,5,50.0,1,90
SB,2,8,1,7,54,1,58.3,1,80
SB,2,8,1,7,54,2,59.4,1,80
SB,2,8,1,7,54,3,56.9,1,80
SB,2,8,1,7,54,4,59.6,1,80
SB,2,8,1,7,54,5,55.1,1,80
L2L,2,10,0,1,18,1,-1.0,-1,210
L2L,2,10,0,1,18,2,-1.0,-1,210
L2L,2,10,0,1,18,3,-1.0,-1,210
L2L,2,10,0,1,18,4,-1.0,-1,210
L2L,2,10,0,1,18,5,-1.0,-1,210
L2L,2,10,0,2,24,1,23.4,0,153
L2L,2,10,0,2,24,2,23.0,0,153
L2L,2,10,0,2,24,3,23.6,0,153
L2L,2,10,0,2,24,4,23.1,0,153
L2L,2,10,0,2,24,5,23.2,0,153
L2L,2,10,0,3,30,1,29.6,0,120
L2L,2,10,0,3,30,2,29.4,0,120
L2L,2,10,0,3,30,3,29.5,0,120
L2L,2,10,0,3,30,4,29.0,0,120
L2L,2,10,0,3,30,5,29.0,0,120
L2L,2,10,0,4,36,1,35.6,0,98
L2L,2,10,0,4,36,2,34.7,0,98
L2L,2,10,0,4,36,3,34.7,0,98
L2L,2,10,0,4,36,4,35.2,0,98
L2L,2,10,0,4,36,5,35.0,0,98
L2L,2,10,0,5,42,1,40.8,0,84
L2L,2,10,0,5,42,2,39.4,0,84
L2L,2,10,0,5,42,3,40.5,0,84
L2L,2,10,0,5,42,4,40.4,0,84
L2L,2,10,0,5,42,5,41.2,0,84
L2L,2,10,0,6,48,1,47.2,0,73
L2L,2,10,0,6,48,2,46.8,0,73
L2L,2,10,0,6,48,3,45.9,0,73
L2L,2,10,0,6,48,4,46.3,0,73
L2L,2,10,0,6,48,5,46.5,0,73
L2L,2,10,0,7,54,1,52.2,1,64
L2L,2,10,0,7,54,2,53.3,1,64
L2L,2,10,0,7,54,3,52.3,1,64
L2L,2,10,0,7,54,4,53.0,1,64
L2L,2,10,0,7,54,5,53.8,1,64
L2L,2,10,1,1,18,1,-1.0,-1,210
L2L,2,10,1,1,18,2,-1.0,-1,210
L2L,2,10,1,1,18,3,-1.0,-1,210
L2L,2,10,1,1,18,4,-1.0,-1,210
L2L,2,10,1,1,18,5,-1.0,-1,210
L2L,2,10,1,2,24,1,23.5,0,153
L2L,2,10,1,2,24,2,23.1,0,153
L2L,2,10,1,2,24,3,23.2,0,153
L2L,2,10,1,2,24,4,21.8,0,153
L2L,2,10,1,2,24,5,21.5,0,153
L2L,2,10,1,3,30,1,29.2,0,120
L2L,2,10,1,3,30,2,29.4,0,120
L2L,2,10,1,3,30,3,29.5,0,120
L2L,2,10,1,3,30,4,29.5,0,120
L2L,2,10,1,3,30,5,29.1,0,120
L2L,2,10,1,4,36,1,35.1,0,98
L2L,2,10,1,4,36,2,34.9,0,98
L2L,2,10,1,4,36,3,35.2,0,98
L2L,2,10,1,4,36,4,36.3,0,98
L2L,2,10,1,4,36,5,36.0,0,98
L2L,2,10,1,5,42,1,42.7,0,84
L2L,2,10,1,5,42,2,40.7,0,84
L2L,2,10,1,5,42,3,41.6,0,84
L2L,2,10,1,5,42,4,42.4,0,84
L2L,2,10,1,5,42,5,41.4,0,84
L2L,2,10,1,6,48,1,48.0,0,73
L2L,2,10,1,6,48,2,47.0,0,73
L2L,2,10,1,6,48,3,46.9,0,73
L2L,2,10,1,6,48,4,48.3,0,73
L2L,2,10,1,6,48,5,48.1,0,73
L2L,2,10,1,7,54,1,53.9,1,64
L2L,2,10,1,7,54,2,54.4,1,64
L2L,2,10,1,7,54,3,53.9,1,64
L2L,2,10,1,7,54,4,57.0,1,64
L2L,2,10,1,7,54,5,54.0,1,64
L1L,2,12,0,1,18,1,-1.0,-1,180
L1L,2,12,0,1,18,2,-1.0,-1,180
L1L,2,12,0,1,18,3,-1.0,-1,180
L1L,2,12,0,1,18,4,-1.0,-1,180
L1L,2,12,0,1,18,5,-1.0,-1,180
L1L,2,12,0,2,24,1,25.2,0,130
L1L,2,12,0,2,24,2,24.6,0,130
L1L,2,12,0,2,24,3,25.1,0,130
L1L,2,12,0,2,24,4,25.6,0,130
L1L,2,12,0,2,24,5,25.1,0,130
L1L,2,12,0,3,30,1,32.6,0,101
L1L,2,12,0,3,30,2,32.6,0,101
L1L,2,12,0,3,30,3,32.5,0,101
L1L,2,12,0,3,30,4,32.2,0,101
L1L,2,12,0,3,30,5,32.6,0,101
L1L,2,12,0,4,36,1,39.6,0,83
L1L,2,12,0,4,36,2,38.6,0,83
L1L,2,12,0,4,36,3,39.1,0,83
L1L,2,12,0,4,36,4,39.1,0,83
L1L,2,12,0,4,36,5,39.0,0,83
L1L,2,12,0,5,42,1,46.1,1,70
L1L,2,12,0,5,42,2,47.8,1,70
L1L,2,12,0,5,42,3,46.7,1,70
L1L,2,12,0,5,42,4,46.0,1,70
L1L,2,12,0,5,42,5,46.6,1,70
L1L,2,12,0,6,48,1,51.0,1,61
L1L,2,12,0,6,48,2,53.9,1,61
L1L,2,12,0,6,48,3,51.2,1,61
L1L,2,12,0,6,48,4,51.8,1,61
L1L,2,12,0,6,48,5,53.6,1,61
L1L,2,12,0,7,54,1,64.7,1,54
L1L,2,12,0,7,54,2,64.3,1,54
L1L,2,12,0,7,54,3,65.3,1,54
L1L,2,12,0,7,54,4,64.5,1,54
L1L,2,12,0,7,54,5,65.4,1,54
L1L,2,12,1,1,18,1,-1.0,-1,180
L1L,2,12,1,1,18,2,-1.0,-1,180
L1L,2,12,1,1,18,3,-1.0,-1,180
L1L,2,12,1,1,18,4,-1.0,-1,180
L1L,2,12,1,1,18,5,-1.0,-1,180
L1L,2,12,1,2,24,1,25.3,0,130
L1L,2,12,1,2,24,2,25.0,0,130
L1L,2,12,1,2,24,3,24.1,0,130
L1L,2,12,1,2,24,4,24.0,0,130
L1L,2,12,1,2,24,5,23.7,0,130
L1L,2,12,1,3,30,1,32.1,0,101
L1L,2,12,1,3,30,2,31.9,0,101
L1L,2,12,1,3,30,3,31.0,0,101
L1L,2,12,1,3,30,4,30.9,0,101
L1L,2,12,1,3,30,5,31.5,0,101
L1L,2,12,1,4,36,1,37.1,0,83
L1L,2,12,1,4,36,2,37.9,0,83
L1L,2,12,1,4,36,3,37.2,0,83
L1L,2,12,1,4,36,4,38.7,0,83
L1L,2,12,1,4,36,5,38.1,0,83
L1L,2,12,1,5,42,1,44.2,0,70
L1L,2,12,1,5,42,2,43.7,0,70
L1L,2,12,1,5,42,3,45.0,0,70
L1L,2,12,1,5,42,4,44.0,0,70
L1L,2,12,1,5,42,5,44.7,0,70
L1L,2,12,1,6,48,1,49.5,1,61
L1L,2,12,1,6,48,2,53.1,1,61
L1L,2,12,1,6,48,3,52.7,1,61
L1L,2,12,1,6,48,4,50.6,1,61
L1L,2,12,1,6,48,5,49.3,1,61
L1L,2,12,1,7,54,1,59.2,1,54
L1L,2,12,1,7,54,2,58.5,1,54
L1L,2,12,1,7,54,3,60.6,1,54
L1L,2,12,1,7,54,4,58.6,1,54
L1L,2,12,1,7,54,5,59.3,1,54
SA2,2,15,0,1,18,1,-1.0,-1,150
SA2,2,15,0,1,18,2,-1.0,-1,150
SA2,2,15,0,1,18,3,-1.0,-1,150
SA2,2,15,0,1,18,4,-1.0,-1,150
SA2,2,15,0,1,18,5,-1.0,-1,150
SA2,2,15,0,2,24,1,23.2,0,107
SA2,2,15,0,2,24,2,24.1,0,107
SA2,2,15,0,2,24,3,24.0,0,107
SA2,2,15,0,2,24,4,23.3,0,107
SA2,2,15,0,2,24,5,23.7,0,107
SA2,2,15,0,3,30,1,30.5,0,83
SA2,2,15,0,3,30,2,30.2,0,83
SA2,2,15,0,3,30,3,30.5,0,83
SA2,2,15,0,3,30,4,30.2,0,83
SA2,2,15,0,3,30,5,30.0,0,83
SA2,2,15,0,4,36,1,37.9,0,68
SA2,2,15,0,4,36,2,36.8,0,68
SA2,2,15,0,4,36,3,36.9,0,68
SA2,2,15,0,4,36,4,36.7,0,68
SA2,2,15,0,4,36,5,36.5,0,68
SA2,2,15,0,5,42,1,44.6,0,57
SA2,2,15,0,5,42,2,44.6,0,57
SA2,2,15,0,5,42,3,43.4,0,57
SA2,2,15,0,5,42,4,44.9,0,57
SA2,2,15,0,5,42,5,45.2,0,57
SA2,2,15,0,6,48,1,51.9,0,50
SA2,2,15,0,6,48,2,51.0,0,50
SA2,2,15,0,6,48,3,50.0,0,50
SA2,2,15,0,6,48,4,50.2,0,50
SA2,2,15,0,6,48,5,48.2,0,50
SA2,2,15,0,7,54,1,58.8,1,44
SA2,2,15,0,7,54,2,57.1,1,44
SA2,2,15,0,7,54,3,55.7,1,44
SA2,2,15,0,7,54,4,57.2,1,44
SA2,2,15,0,7,54,5,55.0,1,44
SA2,2,15,1,1,18,1,-1.0,-1,150
SA2,2,15,1,1,18,2,-1.0,-1,150
SA2,2,15,1,1,18,3,-1.0,-1,150
SA2,2,15,1,1,18,4,-1.0,-1,150
SA2,2,15,1,1,18,5,-1.0,-1,150
SA2,2,15,1,2,24,1,24.3,0,107
SA2,2,15,1,2,24,2,24.4,0,107
SA2,2,15,1,2,24,3,24.9,0,107
SA2,2,15,1,2,24,4,25.5,0,107
SA2,2,15,1,2,24,5,25.3,0,107
SA2,2,15,1,3,30,1,32.6,0,83
SA2,2,15,1,3,30,2,32.4,0,83
SA2,2,15,1,3,30,3,32.4,0,83
SA2,2,15,1,3,30,4,32.5,0,83
SA2,2,15,1,3,30,5,33.0,0,83
SA2,2,15,1,4,36,1,39.9,0,68
SA2,2,15,1,4,36,2,41.1,0,68
SA2,2,15,1,4,36,3,39.5,0,68
SA2,2,15,1,4,36,4,39.3,0,68
SA2,2,15,1,4,36,5,39.7,0,68
SA2,2,15,1,5,42,1,46.6,0,57
SA2,2,15,1,5,42,2,47.4,0,57
SA2,2,15,1,5,42,3,47.3,0,57
SA2,2,15,1,5,42,4,47.0,0,57
SA2,2,15,1,5,42,5,46.4,0,57
SA2,2,15,1,6,48,1,52.6,1,50
SA2,2,15,1,6,48,2,52.8,1,50
SA2,2,15,1,6,48,3,53.0,1,50
SA2,2,15,1,6,48,4,53.0,1,50
SA2,2,15,1,6,48,5,52.8,1,50
SA2,2,15,1,7,54,1,60.5,1,44
SA2,2,15,1,7,54,2,58.8,1,44
SA2,2,15,1,7,54,3,58.5,1,44
SA2,2,15,1,7,54,4,59.2,1,44
SA2,2,15,1,7,54,5,59.0,1,44
SA3,2,18,0,1,18,1,-1.0,-1,131
SA3,2,18,0,1,18,2,-1.0,-1,131
SA3,2,18,0,1,18,3,-1.0,-1,131
SA3,2,18,0,1,18,4,-1.0,-1,131
SA3,2,18,0,1,18,5,-1.0,-1,131
SA3,2,18,0,2,24,1,24.0,0,92
SA3,2,18,0,2,24,2,23.6,0,92
SA3,2,18,0,2,24,3,24.0,0,92
SA3,2,18,0,2,24,4,23.8,0,92
SA3,2,18,0,2,24,5,23.6,0,92
SA3,2,18,0,3,30,1,30.9,0,71
SA3,2,18,0,3,30,2,30.0,0,71
SA3,2,18,0,3,30,3,30.6,0,71
SA3,2,18,0,3,30,4,30.0,0,71
SA3,2,18,0,3,30,5,30.6,0,71
SA3,2,18,0,4,36,1,36.8,0,58
SA3,2,18,0,4,36,2,36.9,0,58
SA3,2,18,0,4,36,3,36.4,0,58
SA3,2,18,0,4,36,4,35.9,0,58
SA3,2,18,0,4,36,5,36.2,0,58
SA3,2,18,0,5,42,1,42.1,0,49
SA3,2,18,0,5,42,2,42.7,0,49
SA3,2,18,0,5,42,3,43.5,0,49
SA3,2,18,0,5,42,4,42.9,0,49
SA3,2,18,0,5,42,5,42.4,0,49
SA3,2,18,0,6,48,1,52.4,1,42
SA3,2,18,0,6,48,2,52.4,1,42
SA3,2,18,0,6,48,3,50.0,1,42
SA3,2,18,0,6,48,4,50.5,1,42
SA3,2,18,0,6,48,5,50.1,1,42
SA3,2,18,0,7,54,1,56.8,1,37
SA3,2,18,0,7,54,2,58.7,1,37
SA3,2,18,0,7,54,3,60.3,1,37
SA3,2,18,0,7,54,4,57.8,1,37
SA3,2,18,0,7,54,5,59.0,1,37
SA3,2,18,1,1,18,1,-1.0,-1,131
SA3,2,18,1,1,18,2,-1.0,-1,131
SA3,2,18,1,1,18,3,-1.0,-1,131
