pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under,exp_speed
L2R,3,10,0,4,36,1,41.3,0,148
L2R,3,10,0,4,36,2,40.7,0,148
L2R,3,10,0,4,36,3,40.7,0,148
L2R,3,10,0,4,36,4,41.5,0,148
L2R,3,10,0,4,36,5,41.1,0,148
L2R,3,10,0,5,42,1,47.2,0,125
L2R,3,10,0,5,42,2,47.6,0,125
L2R,3,10,0,5,42,3,46.9,0,125
L2R,3,10,0,5,42,4,47.5,0,125
L2R,3,10,0,5,42,5,46.8,0,125
L2R,3,10,0,6,48,1,56.6,1,109
L2R,3,10,0,6,48,2,55.3,1,109
L2R,3,10,0,6,48,3,55.2,1,109
L2R,3,10,0,6,48,4,55.0,1,109
L2R,3,10,0,6,48,5,56.1,1,109
L2R,3,10,0,7,54,1,61.6,1,96
L2R,3,10,0,7,54,2,60.9,1,96
L2R,3,10,0,7,54,3,60.9,1,96
L2R,3,10,0,7,54,4,61.2,1,96
L2R,3,10,0,7,54,5,60.2,1,96
L2R,3,10,1,1,18,1,17.1,-1,315
L2R,3,10,1,1,18,2,17.4,-1,315
L2R,3,10,1,1,18,3,18.6,-1,315
L2R,3,10,1,1,18,4,18.9,-1,315
L2R,3,10,1,1,18,5,19.2,-1,315
L2R,3,10,1,2,24,1,26.4,0,229
L2R,3,10,1,2,24,2,26.9,0,229
L2R,3,10,1,2,24,3,26.8,0,229
L2R,3,10,1,2,24,4,27.0,0,229
L2R,3,10,1,2,24,5,26.8,0,229
L2R,3,10,1,3,30,1,34.0,0,180
L2R,3,10,1,3,30,2,33.6,0,180
L2R,3,10,1,3,30,3,33.7,0,180
L2R,3,10,1,3,30,4,33.8,0,180
L2R,3,10,1,3,30,5,33.7,0,180
L2R,3,10,1,4,36,1,41.9,0,148
L2R,3,10,1,4,36,2,41.5,0,148
L2R,3,10,1,4,36,3,41.2,0,148
L2R,3,10,1,4,36,4,41.7,0,148
L2R,3,10,1,4,36,5,41.6,0,148
L2R,3,10,1,5,42,1,47.9,0,125
L2R,3,10,1,5,42,2,48.3,0,125
L2R,3,10,1,5,42,3,48.4,0,125
L2R,3,10,1,5,42,4,48.1,0,125
L2R,3,10,1,5,42,5,48.0,0,125
L2R,3,10,1,6,48,1,55.6,0,109
L2R,3,10,1,6,48,2,54.5,0,109
L2R,3,10,1,6,48,3,55.5,0,109
L2R,3,10,1,6,48,4,55.2,0,109
L2R,3,10,1,6,48,5,55.6,0,109
L2R,3,10,1,7,54,1,62.6,1,96
L2R,3,10,1,7,54,2,62.3,1,96
L2R,3,10,1,7,54,3,64.4,1,96
L2R,3,10,1,7,54,4,63.1,1,96
L2R,3,10,1,7,54,5,63.7,1,96
L1R,3,12,0,1,18,1,16.8,-1,270
L1R,3,12,0,1,18,2,17.6,-1,270
L1R,3,12,0,1,18,3,18.7,-1,270
L1R,3,12,0,1,18,4,19.4,-1,270
L1R,3,12,0,1,18,5,19.5,-1,270
L1R,3,12,0,2,24,1,27.0,0,194
L1R,3,12,0,2,24,2,27.5,0,194
L1R,3,12,0,2,24,3,27.2,0,194
L1R,3,12,0,2,24,4,27.0,0,194
L1R,3,12,0,2,24,5,27.3,0,194
L1R,3,12,0,3,30,1,34.3,0,152
L1R,3,12,0,3,30,2,34.8,0,152
L1R,3,12,0,3,30,3,34.0,0,152
L1R,3,12,0,3,30,4,34.7,0,152
L1R,3,12,0,3,30,5,34.7,0,152
L1R,3,12,0,4,36,1,41.5,0,125
L1R,3,12,0,4,36,2,41.5,0,125
L1R,3,12,0,4,36,3,41.3,0,125
L1R,3,12,0,4,36,4,41.4,0,125
L1R,3,12,0,4,36,5,41.7,0,125
L1R,3,12,0,5,42,1,48.7,0,106
L1R,3,12,0,5,42,2,48.2,0,106
L1R,3,12,0,5,42,3,48.4,0,106
L1R,3,12,0,5,42,4,48.8,0,106
L1R,3,12,0,5,42,5,48.6,0,106
L1R,3,12,0,6,48,1,54.9,0,92
L1R,3,12,0,6,48,2,54.5,0,92
L1R,3,12,0,6,48,3,54.7,0,92
L1R,3,12,0,6,48,4,54.5,0,92
L1R,3,12,0,6,48,5,55.0,0,92
L1R,3,12,0,7,54,1,63.2,1,81
L1R,3,12,0,7,54,2,63.1,1,81
L1R,3,12,0,7,54,3,61.0,1,81
L1R,3,12,0,7,54,4,61.7,1,81
L1R,3,12,0,7,54,5,61.3,1,81
L1R,3,12,1,1,18,1,19.0,-1,270
L1R,3,12,1,1,18,2,18.0,-1,270
L1R,3,12,1,1,18,3,18.7,-1,270
L1R,3,12,1,1,18,4,19.2,-1,270
L1R,3,12,1,1,18,5,19.3,-1,270
L1R,3,12,1,2,24,1,26.9,0,194
L1R,3,12,1,2,24,2,26.5,0,194
L1R,3,12,1,2,24,3,26.8,0,194
L1R,3,12,1,2,24,4,27.0,0,194
L1R,3,12,1,2,24,5,26.8,0,194
L1R,3,12,1,3,30,1,34.2,0,152
L1R,3,12,1,3,30,2,34.0,0,152
L1R,3,12,1,3,30,3,33.6,0,152
L1R,3,12,1,3,30,4,33.5,0,152
L1R,3,12,1,3,30,5,33.3,0,152
L1R,3,12,1,4,36,1,41.9,0,125
L1R,3,12,1,4,36,2,41.5,0,125
L1R,3,12,1,4,36,3,40.8,0,125
L1R,3,12,1,4,36,4,41.2,0,125
L1R,3,12,1,4,36,5,40.0,0,125
L1R,3,12,1,5,42,1,48.5,0,106
L1R,3,12,1,5,42,2,48.1,0,106
L1R,3,12,1,5,42,3,49.1,0,106
L1R,3,12,1,5,42,4,48.5,0,106
L1R,3,12,1,5,42,5,48.0,0,106
L1R,3,12,1,6,48,1,55.8,1,92
L1R,3,12,1,6,48,2,55.9,1,92
L1R,3,12,1,6,48,3,56.2,1,92
L1R,3,12,1,6,48,4,56.4,1,92
L1R,3,12,1,6,48,5,55.9,1,92
L1R,3,12,1,7,54,1,62.6,1,81
L1R,3,12,1,7,54,2,61.9,1,81
L1R,3,12,1,7,54,3,61.9,1,81
L1R,3,12,1,7,54,4,62.0,1,81
L1R,3,12,1,7,54,5,61.7,1,81
SD2,3,15,0,1,18,1,-1.0,-1,226
SD2,3,15,0,1,18,2,-1.0,-1,226
SD2,3,15,0,1,18,3,-1.0,-1,226
SD2,3,15,0,1,18,4,-1.0,-1,226
SD2,3,15,0,1,18,5,-1.0,-1,226
SD2,3,15,0,2,24,1,25.6,0,160
SD2,3,15,0,2,24,2,25.1,0,160
SD2,3,15,0,2,24,3,25.3,0,160
SD2,3,15,0,2,24,4,25.5,0,160
SD2,3,15,0,2,24,5,26.0,0,160
SD2,3,15,0,3,30,1,32.2,0,124
SD2,3,15,0,3,30,2,32.2,0,124
SD2,3,15,0,3,30,3,32.5,0,124
SD2,3,15,0,3,30,4,32.1,0,124
SD2,3,15,0,3,30,5,32.3,0,124
SD2,3,15,0,4,36,1,40.5,0,102
SD2,3,15,0,4,36,2,39.7,0,102
SD2,3,15,0,4,36,3,39.3,0,102
SD2,3,15,0,4,36,4,40.3,0,102
SD2,3,15,0,4,36,5,40.3,0,102
SD2,3,15,0,5,42,1,47.6,0,86
SD2,3,15,0,5,42,2,47.2,0,86
SD2,3,15,0,5,42,3,47.3,0,86
SD2,3,15,0,5,42,4,46.0,0,86
SD2,3,15,0,5,42,5,46.5,0,86
SD2,3,15,0,6,48,1,55.9,1,74
SD2,3,15,0,6,48,2,55.5,1,74
SD2,3,15,0,6,48,3,52.6,1,74
SD2,3,15,0,6,48,4,53.1,1,74
SD2,3,15,0,6,48,5,53.1,1,74
SD2,3,15,0,7,54,1,61.4,1,66
SD2,3,15,0,7,54,2,61.7,1,66
SD2,3,15,0,7,54,3,62.1,1,66
SD2,3,15,0,7,54,4,62.9,1,66
SD2,3,15,0,7,54,5,61.9,1,66
SD2,3,15,1,1,18,1,-1.0,-1,226
SD2,3,15,1,1,18,2,-1.0,-1,226
SD2,3,15,1,1,18,3,-1.0,-1,226
SD2,3,15,1,1,18,4,-1.0,-1,226
SD2,3,15,1,1,18,5,-1.0,-1,226
SD2,3,15,1,2,24,1,25.0,0,160
SD2,3,15,1,2,24,2,24.4,0,160
SD2,3,15,1,2,24,3,25.2,0,160
SD2,3,15,1,2,24,4,25.5,0,160
SD2,3,15,1,2,24,5,25.4,0,160
SD2,3,15,1,3,30,1,33.0,0,124
SD2,3,15,1,3,30,2,32.0,0,124
SD2,3,15,1,3,30,3,32.2,0,124
SD2,3,15,1,3,30,4,33.3,0,124
SD2,3,15,1,3,30,5,33.4,0,124
SD2,3,15,1,4,36,1,40.3,0,102
SD2,3,15,1,4,36,2,40.3,0,102
SD2,3,15,1,4,36,3,39.3,0,102
SD2,3,15,1,4,36,4,39.9,0,102
SD2,3,15,1,4,36,5,39.9,0,102
SD2,3,15,1,5,42,1,46.3,0,86
SD2,3,15,1,5,42,2,46.3,0,86
SD2,3,15,1,5,42,3,46.5,0,86
SD2,3,15,1,5,42,4,46.0,0,86
SD2,3,15,1,5,42,5,46.8,0,86
SD2,3,15,1,6,48,1,54.3,1,74
SD2,3,15,1,6,48,2,55.0,1,74
SD2,3,15,1,6,48,3,54.2,1,74
SD2,3,15,1,6,48,4,54.7,1,74
SD2,3,15,1,6,48,5,53.0,1,74
SD2,3,15,1,7,54,1,62.2,1,66
SD2,3,15,1,7,54,2,61.7,1,66
SD2,3,15,1,7,54,3,60.0,1,66
SD2,3,15,1,7,54,4,61.0,1,66
SD2,3,15,1,7,54,5,62.0,1,66
SD3,3,18,0,1,18,1,19.0,-1,196
SD3,3,18,0,1,18,2,20.2,-1,196
SD3,3,18,0,1,18,3,20.6,-1,196
SD3,3,18,0,1,18,4,20.6,-1,196
SD3,3,18,0,1,18,5,20.8,-1,196
SD3,3,18,0,2,24,1,24.8,0,138
SD3,3,18,0,2,24,2,24.5,0,138
SD3,3,18,0,2,24,3,24.7,0,138
SD3,3,18,0,2,24,4,25.1,0,138
SD3,3,18,0,2,24,5,25.1,0,138
SD3,3,18,0,3,30,1,32.1,0,106
SD3,3,18,0,3,30,2,31.8,0,106
SD3,3,18,0,3,30,3,32.1,0,106
SD3,3,18,0,3,30,4,31.9,0,106
SD3,3,18,0,3,30,5,32.1,0,106
SD3,3,18,0,4,36,1,38.6,0,86
SD3,3,18,0,4,36,2,39.0,0,86
SD3,3,18,0,4,36,3,39.1,0,86
SD3,3,18,0,4,36,4,39.8,0,86
SD3,3,18,0,4,36,5,39.5,0,86
SD3,3,18,0,5,42,1,48.0,0,73
SD3,3,18,0,5,42,2,48.7,0,73
SD3,3,18,0,5,42,3,48.7,0,73
SD3,3,18,0,5,42,4,49.4,0,73
SD3,3,18,0,5,42,5,49.3,0,73
SD3*,3,18,0,6,48,1,53.4,0,63
SD3*,3,18,0,6,48,2,54.2,0,63
SD3*,3,18,0,6,48,3,53.9,0,63
SD3*,3,18,0,6,48,4,54.8,0,63
SD3*,3,18,0,6,48,5,54.4,0,63
SD3,3,18,0,7,54,1,62.2,1,55
SD3,3,18,0,7,54,2,63.3,1,55
SD3,3,18,0,7,54,3,60.4,1,55
SD3,3,18,0,7,54,4,60.0,1,55
SD3,3,18,0,7,54,5,61.8,1,55
SD3,3,18,1,1,18,1,18.2,-1,196
SD3,3,18,1,1,18,2,18.1,-1,196
SD3,3,18,1,1,18,3,20.2,-1,196
SD3,3,18,1,1,18,4,20.4,-1,196
SD3,3,18,1,1,18,5,20.1,-1,196
SD3,3,18,1,2,24,1,25.8,0,138
SD3,3,18,1,2,24,2,25.6,0,138
SD3,3,18,1,2,24,3,25.5,0,138
SD3,3,18,1,2,24,4,26.0,0,138
SD3,3,18,1,2,24,5,25.7,0,138
SD3,3,18,1,3,30,1,32.8,0,106
SD3,3,18,1,3,30,2,32.8,0,106
SD3,3,18,1,3,30,3,32.3,0,106
SD3,3,18,1,3,30,4,33.2,0,106
SD3,3,18,1,3,30,5,32.7,0,106
SD3,3,18,1,4,36,1,40.8,0,86
SD3,3,18,1,4,36,2,40.6,0,86
SD3,3,18,1,4,36,3,40.2,0,86
SD3,3,18,1,4,36,4,40.4,0,86
SD3,3,18,1,4,36,5,40.5,0,86
SD3,3,18,1,5,42,1,47.5,0,73
SD3,3,18,1,5,42,2,47.3,0,73
SD3,3,18,1,5,42,3,46.7,0,73
SD3,3,18,1,5,42,4,46.5,0,73
SD3,3,18,1,5,42,5,47.1,0,73
SD3,3,18,1,6,48,1,53.3,1,63
SD3,3,18,1,6,48,2,53.0,1,63
SD3,3,18,1,6,48,3,54.3,1,63
SD3,3,18,1,6,48,4,54.3,1,63
SD3,3,18,1,6,48,5,54.4,1,63
SD3,3,18,1,7,54,1,62.2,1,55
SD3,3,18,1,7,54,2,62.8,1,55
SD3,3,18,1,7,54,3,62.2,1,55
SD3,3,18,1,7,54,4,61.6,1,55
SD3,3,18,1,7,54,5,62.6,1,55
