,run_name,extrusion,layer_height,line,layer_width_intended,replicate,layer_width_measured,over-under
105,ems_mar21_0,2,12,4,36,6,38.2,0.0
106,ems_mar21_0,2,12,4,36,7,38.6,0.0
107,ems_mar21_0,2,12,4,36,8,38.6,0.0
108,ems_mar21_0,2,12,4,36,9,38.6,0.0
109,ems_mar21_0,2,12,4,36,10,38.6,0.0
110,ems_mar21_0,2,12,5,42,1,46.2,0.0
111,ems_mar21_0,2,12,5,42,2,46.6,0.0
112,ems_mar21_0,2,12,5,42,3,46.0,0.0
113,ems_mar21_0,2,12,5,42,4,45.4,0.0
114,ems_mar21_0,2,12,5,42,5,45.2,0.0
115,ems_mar21_0,2,12,5,42,6,45.3,0.0
116,ems_mar21_0,2,12,5,42,7,45.8,0.0
117,ems_mar21_0,2,12,5,42,8,46.2,0.0
118,ems_mar21_0,2,12,5,42,9,45.6,0.0
119,ems_mar21_0,2,12,5,42,10,46.5,0.0
120,ems_mar21_0,2,12,6,48,1,52.9,1.0
121,ems_mar21_0,2,12,6,48,2,52.0,1.0
122,ems_mar21_0,2,12,6,48,3,51.9,1.0
123,ems_mar21_0,2,12,6,48,4,51.6,1.0
124,ems_mar21_0,2,12,6,48,5,51.3,1.0
125,ems_mar21_0,2,12,6,48,6,52.0,1.0
126,ems_mar21_0,2,12,6,48,7,51.9,1.0
127,ems_mar21_0,2,12,6,48,8,51.6,1.0
128,ems_mar21_0,2,12,6,48,9,53.0,1.0
129,ems_mar21_0,2,12,6,48,10,52.6,1.0
130,ems_mar21_0,2,12,7,54,1,60.7,1.0
131,ems_mar21_0,2,12,7,54,2,59.2,1.0
132,ems_mar21_0,2,12,7,54,3,58.6,1.0
133,ems_mar21_0,2,12,7,54,4,58.8,1.0
134,ems_mar21_0,2,12,7,54,5,59.5,1.0
135,ems_mar21_0,2,12,7,54,6,60.0,1.0
136,ems_mar21_0,2,12,7,54,7,60.6,1.0
137,ems_mar21_0,2,12,7,54,8,60.3,1.0
138,ems_mar21_0,2,12,7,54,9,60.5,1.0
139,ems_mar21_0,2,12,7,54,10,59.0,1.0
140,ems_mar26_0,2,12,1,18,1,-1.0,-1.0
141,ems_mar26_0,2,12,1,18,2,-1.0,-1.0
142,ems_mar26_0,2,12,1,18,3,-1.0,-1.0
143,ems_mar26_0,2,12,1,18,4,-1.0,-1.0
144,ems_mar26_0,2,12,1,18,5,-1.0,-1.0
145,ems_mar26_0,2,12,1,18,6,-1.0,-1.0
146,ems_mar26_0,2,12,1,18,7,-1.0,-1.0
147,ems_mar26_0,2,12,1,18,8,-1.0,-1.0
148,ems_mar26_0,2,12,1,18,9,-1.0,-1.0
149,ems_mar26_0,2,12,1,18,10,-1.0,-1.0
150,ems_mar26_0,2,12,2,24,1,21.7,0.0
151,ems_mar26_0,2,12,2,24,2,21.9,0.0
152,ems_mar26_0,2,12,2,24,3,22.2,0.0
153,ems_mar26_0,2,12,2,24,4,22.4,0.0
154,ems_mar26_0,2,12,2,24,5,22.1,0.0
155,ems_mar26_0,2,12,2,24,6,22.3,0.0
156,ems_mar26_0,2,12,2,24,7,22.2,0.0
157,ems_mar26_0,2,12,2,24,8,22.4,0.0
158,ems_mar26_0,2,12,2,24,9,22.5,0.0
159,ems_mar26_0,2,12,2,24,10,22.1,0.0
160,ems_mar26_0,2,12,3,30,1,28.0,0.0
161,ems_mar26_0,2,12,3,30,2,28.3,0.0
162,ems_mar26_0,2,12,3,30,3,28.2,0.0
163,ems_mar26_0,2,12,3,30,4,27.9,0.0
164,ems_mar26_0,2,12,3,30,5,28.1,0.0
165,ems_mar26_0,2,12,3,30,6,28.3,0.0
166,ems_mar26_0,2,12,3,30,7,28.0,0.0
167,ems_mar26_0,2,12,3,30,8,28.3,0.0
168,ems_mar26_0,2,12,3,30,9,28.3,0.0
169,ems_mar26_0,2,12,3,30,10,28.4,0.0
170,ems_mar26_0,2,12,4,36,1,34.5,0.0
171,ems_mar26_0,2,12,4,36,2,34.8,0.0
172,ems_mar26_0,2,12,4,36,3,34.0,0.0
173,ems_mar26_0,2,12,4,36,4,34.5,0.0
174,ems_mar26_0,2,12,4,36,5,34.4,0.0
175,ems_mar26_0,2,12,4,36,6,34.3,0.0
176,ems_mar26_0,2,12,4,36,7,34.1,0.0
177,ems_mar26_0,2,12,4,36,8,34.2,0.0
178,ems_mar26_0,2,12,4,36,9,34.2,0.0
179,ems_mar26_0,2,12,4,36,10,34.3,0.0
180,ems_mar26_0,2,12,5,42,1,41.8,0.0
181,ems_mar26_0,2,12,5,42,2,41.8,0.0
182,ems_mar26_0,2,12,5,42,3,41.0,0.0
183,ems_mar26_0,2,12,5,42,4,40.0,0.0
184,ems_mar26_0,2,12,5,42,5,40.9,0.0
185,ems_mar26_0,2,12,5,42,6,40.4,0.0
186,ems_mar26_0,2,12,5,42,7,40.5,0.0
187,ems_mar26_0,2,12,5,42,8,41.2,0.0
188,ems_mar26_0,2,12,5,42,9,40.0,0.0
189,ems_mar26_0,2,12,5,42,10,40.5,0.0
190,ems_mar26_0,2,12,6,48,1,46.7,0.0
191,ems_mar26_0,2,12,6,48,2,46.0,0.0
192,ems_mar26_0,2,12,6,48,3,46.4,0.0
193,ems_mar26_0,2,12,6,48,4,46.2,0.0
194,ems_mar26_0,2,12,6,48,5,45.1,0.0
195,ems_mar26_0,2,12,6,48,6,45.4,0.0
196,ems_mar26_0,2,12,6,48,7,45.5,0.0
197,ems_mar26_0,2,12,6,48,8,46.0,0.0
198,ems_mar26_0,2,12,6,48,9,46.1,0.0
199,ems_mar26_0,2,12,6,48,10,46.1,0.0
200,ems_mar26_0,2,12,7,54,1,55.8,0.0
201,ems_mar26_0,2,12,7,54,2,53.1,0.0
202,ems_mar26_0,2,12,7,54,3,52.9,0.0
203,ems_mar26_0,2,12,7,54,4,53.2,0.0
204,ems_mar26_0,2,12,7,54,5,53.0,0.0
205,ems_mar26_0,2,12,7,54,6,53.1,0.0
206,ems_mar26_0,2,12,7,54,7,52.6,0.0
207,ems_mar26_0,2,12,7,54,8,53.4,0.0
208,ems_mar26_0,2,12,7,54,9,52.2,0.0
209,ems_mar26_0,2,12,7,54,10,52.3,0.0
210,ems_mar26_1,2,12,1,18,1,-1.0,-1.0
211,ems_mar26_1,2,12,1,18,2,-1.0,-1.0
212,ems_mar26_1,2,12,1,18,3,-1.0,-1.0
213,ems_mar26_1,2,12,1,18,4,-1.0,-1.0
214,ems_mar26_1,2,12,1,18,5,-1.0,-1.0
215,ems_mar26_1,2,12,1,18,6,-1.0,-1.0
216,ems_mar26_1,2,12,1,18,7,-1.0,-1.0
217,ems_mar26_1,2,12,1,18,8,-1.0,-1.0
218,ems_mar26_1,2,12,1,18,9,-1.0,-1.0
219,ems_mar26_1,2,12,1,18,10,-1.0,-1.0
220,ems_mar26_1,2,12,2,24,1,20.0,
221,ems_mar26_1,2,12,2,24,2,19.9,
222,ems_mar26_1,2,12,2,24,3,19.7,
223,ems_mar26_1,2,12,2,24,4,19.5,
224,ems_mar26_1,2,12,2,24,5,19.6,
225,ems_mar26_1,2,12,2,24,6,19.5,
226,ems_mar26_1,2,12,2,24,7,19.6,
227,ems_mar26_1,2,12,2,24,8,19.3,
228,ems_mar26_1,2,12,2,24,9,19.4,
229,ems_mar26_1,2,12,2,24,10,19.3,
230,ems_mar26_1,2,12,3,30,1,24.4,
231,ems_mar26_1,2,12,3,30,2,24.4,
232,ems_mar26_1,2,12,3,30,3,23.6,
233,ems_mar26_1,2,12,3,30,4,23.9,
234,ems_mar26_1,2,12,3,30,5,23.8,
235,ems_mar26_1,2,12,3,30,6,24.0,
236,ems_mar26_1,2,12,3,30,7,23.7,
237,ems_mar26_1,2,12,3,30,8,23.6,
238,ems_mar26_1,2,12,3,30,9,23.7,
239,ems_mar26_1,2,12,3,30,10,23.8,
240,ems_mar26_1,2,12,4,36,1,29.6,
241,ems_mar26_1,2,12,4,36,2,28.8,
242,ems_mar26_1,2,12,4,36,3,28.6,
243,ems_mar26_1,2,12,4,36,4,28.2,
244,ems_mar26_1,2,12,4,36,5,28.3,
245,ems_mar26_1,2,12,4,36,6,28.0,
246,ems_mar26_1,2,12,4,36,7,27.9,
247,ems_mar26_1,2,12,4,36,8,28.0,
248,ems_mar26_1,2,12,4,36,9,28.1,
249,ems_mar26_1,2,12,4,36,10,28.2,
250,ems_mar26_1,2,12,5,42,1,33.5,
251,ems_mar26_1,2,12,5,42,2,33.4,
252,ems_mar26_1,2,12,5,42,3,33.2,
253,ems_mar26_1,2,12,5,42,4,32.9,
254,ems_mar26_1,2,12,5,42,5,33.2,
255,ems_mar26_1,2,12,5,42,6,33.6,
256,ems_mar26_1,2,12,5,42,7,33.4,
257,ems_mar26_1,2,12,5,42,8,33.6,
258,ems_mar26_1,2,12,5,42,9,33.5,
259,ems_mar26_1,2,12,5,42,10,33.8,
260,ems_mar26_1,2,12,6,48,1,39.5,
261,ems_mar26_1,2,12,6,48,2,39.3,
262,ems_mar26_1,2,12,6,48,3,39.0,
263,ems_mar26_1,2,12,6,48,4,39.0,
264,ems_mar26_1,2,12,6,48,5,38.9,
265,ems_mar26_1,2,12,6,48,6,39.1,
266,ems_mar26_1,2,12,6,48,7,38.6,
267,ems_mar26_1,2,12,6,48,8,38.2,
268,ems_mar26_1,2,12,6,48,9,37.6,
269,ems_mar26_1,2,12,6,48,10,37.7,
270,ems_mar26_1,2,12,7,54,1,44.7,
271,ems_mar26_1,2,12,7,54,2,43.4,
272,ems_mar26_1,2,12,7,54,3,43.4,
273,ems_mar26_1,2,12,7,54,4,43.4,
274,ems_mar26_1,2,12,7,54,5,43.1,
275,ems_mar26_1,2,12,7,54,6,43.2,
276,ems_mar26_1,2,12,7,54,7,42.8,
277,ems_mar26_1,2,12,7,54,8,43.5,
278,ems_mar26_1,2,12,7,54,9,43.5,
279,ems_mar26_1,2,12,7,54,10,42.8,
